0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:25 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "POST /milkyWayForest/mypage/getMypageMyInfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "GET /milkyWayForest/image/undefined.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "GET /milkyWayForest/mypage/mypageCpnPnts.jsp HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [12/Dec/2021:09:25:26 +0900] "POST /milkyWayForest/mypage/getPaymentInfo HTTP/1.1" 500 23163
